beach_name,state,latitude,longitude,avg_wave_height,max_wave_height,avg_swell_height,avg_current_velocity
Alter do Chão,PA,-2.52,-55.0,,,,
Arraial d'Ajuda,BA,-16.45,-39.07,0.81,1.1,0.78,0.35
Barra da Tijuca,RJ,-23.01,-43.37,2.0,2.5,1.6,0.47
Búzios,RJ,-22.75,-41.88,1.49,1.6,1.08,0.34
Cabo Frio,RJ,-22.88,-42.02,1.61,1.86,1.25,0.5
Camboriú,SC,-26.99,-48.63,0.39,0.52,0.23,0.12
Copacabana,RJ,-22.97,-43.18,1.76,2.16,1.4,0.34
Fernando de Noronha,PE,-3.85,-32.43,1.96,2.24,1.48,2.19
Florianópolis,SC,-27.6,-48.55,0.3,0.42,0.21,0.16
Garopaba,SC,-28.03,-48.62,0.92,1.16,0.75,0.25
Guarapari,ES,-20.67,-40.5,0.94,1.04,0.51,0.81
Guarujá,SP,-23.99,-46.26,1.52,1.94,1.33,0.21
Ilhabela,SP,-23.78,-45.36,1.71,2.34,1.52,0.38
Itacaré,BA,-14.28,-38.99,1.64,2.3,1.44,0.21
Jericoacoara,CE,-2.79,-40.51,0.94,1.1,0.59,0.42
Maragogi,AL,-9.01,-35.22,1.82,2.04,1.54,0.11
Maresias,SP,-23.77,-45.56,1.46,2.02,1.33,0.21
Pipa,RN,-6.23,-35.05,0.86,1.02,0.81,0.36
Porto de Galinhas,PE,-8.7,-35.01,1.38,1.56,1.26,0.34
Praia do Forte,BA,-12.57,-37.99,1.93,2.46,1.5,0.33
Salinópolis,PA,-0.61,-47.35,0.34,0.46,0.23,1.88
Torres,RS,-29.33,-49.73,0.74,0.94,0.6,0.65
Tramandaí,RS,-30.0,-50.13,0.75,0.96,0.64,0.61
Trancoso,BA,-16.59,-39.09,0.96,1.3,0.92,0.34
Ubatuba,SP,-23.43,-45.07,1.2,1.58,0.85,0.23
